[2026-08-15T16:27:59.900Z] GET http://localhost:8123/ → 200 (45ms, ?B)
[2026-08-15T16:28:00.058Z] GET http://localhost:8123/src/config.js → 200 (8ms, 2763B)
[2026-08-15T16:28:00.059Z] GET http://localhost:8123/src/main.js → 200 (10ms, 3986B)
[2026-08-15T16:28:00.059Z] GET http://localhost:8123/src/ui/render.js → 200 (10ms, 6275B)
[2026-08-15T16:28:00.059Z] GET http://localhost:8123/src/ui/controls.js → 200 (10ms, 3800B)
[2026-08-15T16:28:00.059Z] GET http://localhost:8123/src/ui/eventlog.js → 200 (9ms, 2732B)
[2026-08-15T16:28:00.071Z] GET http://localhost:8123/src/messages.js → 200 (9ms, 2651B)
[2026-08-15T16:28:00.071Z] GET http://localhost:8123/src/network.js → 200 (11ms, 4192B)
[2026-08-15T16:28:00.072Z] GET http://localhost:8123/src/clock.js → 200 (8ms, 601B)
[2026-08-15T16:28:00.072Z] GET http://localhost:8123/src/physics/queues.js → 200 (9ms, 6536B)
[2026-08-15T16:28:00.072Z] GET http://localhost:8123/src/physics/trains.js → 200 (11ms, 4517B)
[2026-08-15T16:28:00.072Z] GET http://localhost:8123/src/physics/incidents.js → 200 (9ms, 4982B)
[2026-08-15T16:28:00.072Z] GET http://localhost:8123/src/actors/local/controller.js → 200 (10ms, 4183B)
[2026-08-15T16:28:00.078Z] GET http://localhost:8123/src/actors/central.js → 200 (5ms, 4761B)
[2026-08-15T16:28:00.078Z] GET http://localhost:8123/src/actors/railway.js → 200 (5ms, 3339B)
[2026-08-15T16:28:00.082Z] GET http://localhost:8123/src/actors/local/phases.js → 200 (2ms, 2124B)
[2026-08-15T16:28:00.082Z] GET http://localhost:8123/src/actors/local/plans.js → 200 (3ms, 4796B)
[2026-08-15T16:28:00.083Z] GET http://localhost:8123/src/actors/local/preemption.js → 200 (1ms, 2987B)
[2026-08-15T16:29:05.133Z] GET http://localhost:8123/ → pending (?ms, ?B)
[2026-08-15T16:29:05.273Z] GET http://localhost:8123/src/config.js → 304 (3ms, ?B)
[2026-08-15T16:29:05.274Z] GET http://localhost:8123/src/main.js → 304 (6ms, ?B)
[2026-08-15T16:29:05.274Z] GET http://localhost:8123/src/ui/render.js → 200 (2ms, 6309B)
[2026-08-15T16:29:05.274Z] GET http://localhost:8123/src/ui/controls.js → 304 (6ms, ?B)
[2026-08-15T16:29:05.274Z] GET http://localhost:8123/src/ui/eventlog.js → 304 (3ms, ?B)
[2026-08-15T16:29:05.285Z] GET http://localhost:8123/src/messages.js → 200 (?ms, 2651B)
[2026-08-15T16:29:05.285Z] GET http://localhost:8123/src/network.js → 200 (?ms, 4192B)
[2026-08-15T16:29:05.285Z] GET http://localhost:8123/src/clock.js → 200 (1ms, 601B)
[2026-08-15T16:29:05.286Z] GET http://localhost:8123/src/physics/queues.js → 200 (2ms, 6738B)
[2026-08-15T16:29:05.286Z] GET http://localhost:8123/src/physics/trains.js → 200 (?ms, 4517B)
[2026-08-15T16:29:05.286Z] GET http://localhost:8123/src/physics/incidents.js → 200 (?ms, 4982B)
[2026-08-15T16:29:05.287Z] GET http://localhost:8123/src/actors/local/controller.js → 304 (1ms, ?B)
[2026-08-15T16:29:05.287Z] GET http://localhost:8123/src/actors/central.js → 304 (2ms, ?B)
[2026-08-15T16:29:05.287Z] GET http://localhost:8123/src/actors/railway.js → 304 (3ms, ?B)
[2026-08-15T16:29:05.288Z] GET http://localhost:8123/src/actors/local/phases.js → 200 (?ms, 2124B)
[2026-08-15T16:29:05.289Z] GET http://localhost:8123/src/actors/local/plans.js → 304 (2ms, ?B)
[2026-08-15T16:29:05.289Z] GET http://localhost:8123/src/actors/local/preemption.js → 304 (2ms, ?B)
[2026-08-15T16:46:25.962Z] GET https://hcmc-traffic-sim.vercel.app/ → 200 (774ms, 5081B)
[2026-08-15T16:46:26.784Z] GET https://hcmc-traffic-sim.vercel.app/src/config.js → pending (?ms, ?B)
[2026-08-15T16:46:26.784Z] GET https://hcmc-traffic-sim.vercel.app/src/main.js → pending (?ms, ?B)
[2026-08-15T16:46:26.784Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/render.js → pending (?ms, ?B)
[2026-08-15T16:46:26.784Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/controls.js → pending (?ms, ?B)
[2026-08-15T16:46:26.784Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/eventlog.js → pending (?ms, ?B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/network.js → 200 (298ms, 4192B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/clock.js → 200 (561ms, 601B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/queues.js → 200 (328ms, 6738B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/trains.js → 200 (567ms, 4517B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/incidents.js → 200 (562ms, 4982B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/messages.js → 200 (305ms, 2651B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/controller.js → 200 (327ms, 4183B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/central.js → pending (?ms, ?B)
[2026-08-15T16:46:27.364Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/railway.js → 200 (299ms, 3339B)
[2026-08-15T16:46:27.692Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/phases.js → pending (?ms, ?B)
[2026-08-15T16:46:27.692Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/plans.js → pending (?ms, ?B)
[2026-08-15T16:46:27.692Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/preemption.js → pending (?ms, ?B)
[2026-08-15T17:05:22.439Z] GET https://hcmc-traffic-sim.vercel.app/ → 200 (248ms, 5081B)
[2026-08-15T17:05:22.794Z] GET https://hcmc-traffic-sim.vercel.app/src/config.js → 200 (51ms, 2763B)
[2026-08-15T17:05:22.795Z] GET https://hcmc-traffic-sim.vercel.app/src/main.js → 200 (61ms, 3986B)
[2026-08-15T17:05:22.795Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/render.js → 200 (61ms, 6309B)
[2026-08-15T17:05:22.795Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/controls.js → 200 (60ms, 3800B)
[2026-08-15T17:05:22.796Z] GET https://hcmc-traffic-sim.vercel.app/src/ui/eventlog.js → 200 (50ms, 2732B)
[2026-08-15T17:05:22.847Z] GET https://hcmc-traffic-sim.vercel.app/src/messages.js → 200 (46ms, 2651B)
[2026-08-15T17:05:22.859Z] GET https://hcmc-traffic-sim.vercel.app/src/network.js → 200 (47ms, 4192B)
[2026-08-15T17:05:22.859Z] GET https://hcmc-traffic-sim.vercel.app/src/clock.js → 200 (46ms, 601B)
[2026-08-15T17:05:22.859Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/queues.js → 200 (47ms, 6738B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/trains.js → 200 (46ms, 4517B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/physics/incidents.js → 200 (67ms, 4982B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/controller.js → 200 (68ms, 4183B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/central.js → 200 (67ms, 4761B)
[2026-08-15T17:05:22.860Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/railway.js → 200 (66ms, 3339B)
[2026-08-15T17:05:22.928Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/plans.js → 200 (49ms, 4796B)
[2026-08-15T17:05:22.929Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/phases.js → 200 (47ms, 2124B)
[2026-08-15T17:05:22.929Z] GET https://hcmc-traffic-sim.vercel.app/src/actors/local/preemption.js → 200 (48ms, 2987B)
[2026-08-15T17:05:42.145Z] GET http://localhost:8123/ → 200 (4ms, ?B)
[2026-08-15T17:05:42.371Z] GET http://localhost:8123/src/config.js → 200 (7ms, 2940B)
[2026-08-15T17:05:42.372Z] GET http://localhost:8123/src/main.js → 200 (7ms, 3986B)
